epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.5,1.30778,1.02491,1.34226,0.5433,0.42468,0.42702,0.23469,1.88389,1.41705,1.69164,0.000665567,0.000665567,0.000665567
2,230.989,1.43046,1.13849,1.42394,0.48138,0.36694,0.36409,0.19337,1.96007,1.55973,1.79151,0.00120034,0.00120034,0.00120034
3,338.037,1.46287,1.20113,1.43872,0.48194,0.39409,0.37986,0.20756,1.89047,1.51778,1.64453,0.00160312,0.00160312,0.00160312
4,446.75,1.45961,1.19486,1.45085,0.5207,0.37097,0.40576,0.2284,1.84284,1.50145,1.60782,0.001406,0.001406,0.001406
5,555.608,1.41584,1.13843,1.41486,0.48272,0.41344,0.39801,0.21794,1.90451,1.58111,1.6385,0.001208,0.001208,0.001208
6,661.742,1.38797,1.09018,1.39121,0.53224,0.41962,0.42241,0.236,1.85717,1.41364,1.64952,0.00101,0.00101,0.00101
7,769.903,1.35146,1.04158,1.36576,0.57065,0.44089,0.44769,0.26024,1.77331,1.36929,1.56681,0.000812,0.000812,0.000812
8,879.235,1.29735,1.00939,1.33186,0.55225,0.43118,0.44648,0.26316,1.77186,1.36177,1.55823,0.000614,0.000614,0.000614
9,987.23,1.28253,0.97919,1.32466,0.56463,0.44462,0.45473,0.26538,1.75954,1.31933,1.55592,0.000416,0.000416,0.000416
10,1096.86,1.25305,0.94332,1.30358,0.5384,0.44355,0.44391,0.2625,1.75991,1.31371,1.553,0.000218,0.000218,0.000218
